id,firstName,lastName,birthDate
36,Bill,Gates,1955-11-25
37,Mark,Zukerber,1992-02-27
38,Jeff,Besos,1972-09-19
39,Jack,Ma,1965-10-31
40,Steve,Jobs,1957-04-24
41,Larry,Ellison,1947-08-19
42,Bill2,Gates,1955-11-25
43,Bill3,Gates,1955-11-25
44,Bill4,Gates,1955-11-25
45,Bill5,Gates,1955-11-25
46,Bill6,Gates,1955-11-25
47,Bill7,Gates,1955-11-25
48,Bill8,Gates,1955-11-25
49,Bill9,Gates,1955-11-25
50,Bill10,Gates,1955-11-25
51,Bill11,Gates,1955-11-25
52,Bill12,Gates,1955-11-25
53,Bill13,Gates,1955-11-25
54,Bill14,Gates,1955-11-25
55,Bill15,Gates,1955-11-25
56,Bill16,Gates,1955-11-25
57,Bill17,Gates,1955-11-25
58,Bill18,Gates,1955-11-25
59,Bill19,Gates,1955-11-25
60,Bill20,Gates,1955-11-25
61,Bill21,Gates,1955-11-25
62,Bill22,Gates,1955-11-25
63,Bill23,Gates,1955-11-25
64,Bill24,Gates,1955-11-25
65,Bill25,Gates,1955-11-25
66,Bill26,Gates,1955-11-25
67,Bill27,Gates,1955-11-25
68,Bill28,Gates,1955-11-25
69,Bill29,Gates,1955-11-25
70,Bill30,Gates,1955-11-25
